review,time
"사실 많이 기대했던 재품인데 아! 좀 아쉽네요.. 현재 제가 비싼건 아니지만 이어폰 4개 헤드폰 3개 가량 가지고 있는데, 그 중 밥말리 이어폰하고, 많이 흡사하네요. 14만원 주거 산거 같은데, 딱 그냥 그 이상 그이하도 아닌거 같네요. 다만 베이스 부분에서 밥 말리는 딱 때려주고 잡아주는 느낌이라면, XB920 은 좀더 울리는 느낌 왜 에는 별반 차이는 못느끼겠습니다. 테스트한 기기로는 갤럭시 S2, 아이팟 나노, 아이패드, 소니MP3 NWZ-B163F로 테스트 했는데 소니 MP3에는 전혀 안어울리는 거 같고, 웅웅 거리는 소리가 심하고, 그다음은 아이팟 나노, 그다음 갤럭시 S2 (이퀄라이저 설정만 잘하면 될거 같음), 아이패드가 그나마 잘 어울리네요. 노래 들을때는 밥말리 이어폰 정도 이고, 영화 볼때는 정말 최고로 괜찮은거 같네요. 베를린 이란 영화 보는데, 소리만으로도 집중하게 만드네요... 디자인 음!! 중요하죠. 디자인은 좋습니다. 제 머리에 안어울리는게 문제죠. 특히 사각형 얼굴은 ㅋㅋ 엄정화가 예전에 ""몰라"" 알수가 없어"" 라는 노래 부를때 귀에 했던 장식 있잖아요. 그런 꼴입니다. 이 리뷰는 저의 개인적인 리뷰로 사람마다 차이가 있습니다. 가끔 한번씩 이어폰 쓰시는 분이나, 여러 이어폰을 쓰지 않았던 분이라면, 확실히 소리가 좋다 느끼겠지만, 저 같이 일할때 이어폰 끼고, 운동할때 이어폰 끼고 집에서 소니 무선헤드폰 으로 영화 보고 하는 분이라면, 추천하기에는 어렵다고 생각됩니다. 이상! 개인적인 리뷰였습니다.",2013-05-09
같은제품으로 오픈마켓과 비교해보니 가격이 20% 가까이 싸길래.. 언능 구매했는데..지금까지의 저가형보다 훨씬 주위소음을 차단하는 밀폐형이라서 그런지 .. 귀가 눌려요.. 개인적으로 오랜시간 사용하는 경우라서 그런지 몰라도 앞전 저가형도 같은 소니인데.. 그닥 눌리지 않았는데.. 이건 정말 아프네요.. 특히 안경을 쓰고 사용하니까.. 안경테와 귀가 같이 눌려서 ... 조금 사용하고 다시 위치조정하고 합니다.. 남자분들은 꼭 오픈마켓가서 쓰고 한 10분 있어보시길 바랍니다... 소리는 저가형보다 돈이 비싸서 그런지 더 좋은것 같아요..제가 워낙 잘 구분을 못해서 기술적으로 설명은 못합니다.... 지금 사용하기 시작한지 4일 정도 되었는데.. 후회까지는 아니지만... 실망스러움은 조금있습니다..,2013-09-01
솔직히 별 기대 안했고 음.. 뭐랄까 타사제품에 빌해 많이 싼것도 그래서 반신반의 했습니다 뭐 사고 아니면 반품 하면 되니까.. 근데 이건 뭔가요..! 정말 가격대비 완전 초강추고 특히나 우퍼부분은 정말 신경을 많이 쓴거 같더라구요 그리구 AP 케이블 또한! 요즘은 대개 폰으로 음악 들으시자나여 그래서 그런지 다른 노래들을라면 꺼져있는 폰 패턴 풀고 또 일일이 또 선택하고 해야하는데 그럴걱정 없는 AP케이블! 안드로이드폰 또한 호환 된다고 하니 걱정無! ㅋㅋ 정말 거품격인 닥터드레기는 욕나올정도입니다 한번 써보세요 ㅎ,2013-09-18
엑스트라베이스라는 이름답게 정말 다이나믹한 저음비트를 들려줍니다. 그러면서도 전혀 거슬리지 않게 단단히 조여주는것이 소니의 기술력에 감탄하게 만들어 줍니다. 그러면서도 보통 저음성향 리시버가 그렇듯이 고음이 취약할것이라 생각했지만 전혀 그렇지 않았습니다. 안올라갈듯 하면서도 안정적으로 떠받혀주는 고음이 극저음 헤드폰에서도 나올수 있다는 것을 보여준 아주 훌륭한 헤드폰 이라 생각합니다. 하지만 역시 여성보컬의 찌르는 고음에서는 찢어질듯 말듯한 느낌이 들더군요. 소향같은 여성보컬의 노래만 안듣는다면 누구나 좋아할만한 헤드폰입니다.,2013-12-16
일단 저는 전문가가 아니라서 음질에 대해선 잘 모르나 듣기 불편하지 않고 차음성도 뛰어납니다. 디자인면에선 보시다시피 대단합니다. 주위 사람들도 멋있다고들 하고요. 간혹 리뷰를 보면 옆부분 스크래치가 잘나거나 지문이 잘 남는다고해서 걱정하시는 분들 많을 텐데 그냥 슥슥 비벼주면 없어지기도 하고 혹여나 스크래치가 나더라도 광채가 나고 하기때문에 그리 신경쓰실필요 없을 것 같습니다.  학생신분으로 나름 큰 돈 쓰기 걱정했는데 후회 없네요,2014-03-09
전부터 소니제품에 섬세함 때문에 소니제품을 애용했던 사람입니다. 시기가 조금 어긋나는 바람에 이번 제품은 늦게 샀네요.과연 소니.. 명가의 제품답게 XB920도 어마어마 합니다. 닥드나 루다같은 저음 초강세형 헤드폰이 아니라 베이스는 풍부하게 울려주고 고음은 섬세하게 잡아주는 매력이 있습니다. 베이스 강세형 헤드폰을 선호 하시는 분들은 조금 맛이 떨어질수 있지만 모든 음을 아울러서 미세한 음마저도 감동을 주는 착한 제품이네요. 매력넘칩니다. 후회없습니다.이 음들이 여러분 귓가에도 스쳐봤으면 하네요.,2013-11-19
아들 녀석이 공공장소에서 하도 시끄럽게 태블릿을 틀어대서... 애줄라고 하나 샀는데... 쫌 크기는 하지만 볼륨 강제 세팅 해놓고 애한테 들려주니... 땀땀 뻘뻘 흘리면서도 좋다고 잘쓰고 있습니다. 아 그리고 처음에 변신 방법이 익숙하지 않으시면 헤드폰 테두리와 원판 바깥쪽 기스날수 있습니다. 조심해서 변신하세용. 애엄마가 박스 버리면서 정품 인증 로고도 같이 버렸네요. AS 포기해야 하나요? 아님 다른 방법이 있나요?,2013-08-16
"디자인이 마음에 들어서 폭풍 중저음이란 평을 보고도 구매했습니다.음악은 주로 스마트폰으로 듣는데 어플로 EQ조정하고, 중음의 보컬 주파수를 올려놓으니 보컬이 뭉개지거나 하는 현상은 줄일 수 있었습니다. 테스트로 전쟁영화 한편 감상해봤는데 땡크 지나다니는 소리나 폭탄 터지는 배경소리는 더없이 만족감을 줍니다. 요다현상은 없는것 같고, 좀 무게감이 있다는게 흠이라면 흠이네요.",2014-03-09
10만원대 헤드폰 중에서는 좋은 편인 것 같아요. 중저음이 업그레이드됐다고 해서 기대했는데 약간 궁궁거리는 느낌이 있네요. 그래도 전체적인 음질은 좋아서 이퀄라이저 조정하면서 들으면 괜찮을 것 같습니다. 약간 귀마개 부분에 스크래치가 나기 쉽지만 손가락으로 문지르면 없어지네요^^ 끼고 돌아다니기에는 약간 큰 편이라서 집에서 잘 사용하고 있습니다.,2013-11-14
좋은 헤드폰을 사기 위해서 인터넷 리뷰등을 찾아보고 고른 제품이 XB920이다. 주로 클래식과 CCM을 많이 듣고 영화를 자주 보는데 나에게는 정말 디자인과 소리 모두를 만족시키는 헤드폰이라 생각된다. 특히 음악을 핸드폰으로 들을때가 많은데 그때에 전화가 와도 바로 받을 수 있어서 매우 편리하다. 음악을 사랑하는 많은 사람들에게 적극 추천한다. 가격대비 성능 짱~~~,2014-04-04
