review,time
"초기 출고가에 비하면 한참을 싸게 사서 좋습니다. 다만 받고 나서는 청음샵에서 들었던 것과 차이가 난다고 생각했어요.. 귀에 거슬릴 정도의 고음(하이햇 같은 소리는 상당히 날카롭거든요..) 과 생각보다 별로였던 출력과 차음성에 (기존에 잠시 사용하던 밥말리 이어폰이 저음이 워낙 강하고 이 헤드폰보다 훨씬 소리가 크게 나와서 절로 차음도 되었어요) 조금 실망한 것도 있지만.. 그래도 이 가격에서 더 큰 것을 바라면 욕심인 듯하고,, 이 것도 애정을 가지고 귀하게 쓰려합니다. 소리가 세세하게 잘 구현되는 것 같아요. 이 헤드폰만의 장점과 단점이 있다는 것. 그 자체를 판매자님에게 불평할수는 없지않겠어요. ㅋㅋ  암튼 정품 싸게 파셔서 감사해요~",2014-04-04
"어제 모멘텀을 수령받았습니다. 친절하신 택배 형님(?)이 오셔서 ㅋㅋ. 후다닥 달려나가서 받았습니다. 오디오엔진 a2랑 bos h1이랑 한꺼번에 주문해서 무거운 택배가 3상자나 왔다는;;;;; 덕분에 무거워서 낑낑대며 계단을 올라 집으로 들어왔습니다 ㅋㅋㅋ.  이윽고 칼을 꺼내 수술하듯이 조심스레 박스를 가르고 본체를 꺼냈습니다. 본체의 봉인 스티커도 칼로 가르고(봉인 스티커를 가르면 후에 환불이 불가능합니다.) 암튼 박스를 가르고 펼치자, 왼쪽에 웬 편지 봉투가? 열어보니 사용 설명서랑 뭐시기 어쩌구저쩌구하는 내용의 종이더군요. 쿨하게 다시 집어넣었습니다.(난 긴 영어를 보면 머리 아프니깐 ㅋ) 오른쪽에는 짙은 브라운의 하드 케이스가 있었습니다. 그게 은근히 부피가 커서 어디에 들고 나가기에는 좀 무리가 있는 것 같더라고요. 아니면 최신 유행하는 핸드백인 척 코스프레하고 들고 다니면 될 듯 ㅋㅋㅋ.  무튼 케이스의 지퍼를 열고 (지퍼도 은근히 케이스의 하드 재질에 걸맞게 뻑뻑합니다. 살짝 힘줘야 되요.) ？？! 하고 헤드폰을 낚아채 꺼냈습니다. 꺼내자마자 갤3에 연결시키고 4~5시간 정도의 에이징을 거쳤습니다. 1. 제일 먼저 디자인을 언급하자면 모멘텀의 전용 수식어인 '아웃도어 종결자' 라는 이름에 걸맞게 브라운 컬러의 모멘텀은 굉장히 쌈빡합니다. 중후한 멋과 우아함을 동시에 갖췄네요. 유닛 위의 젠하이저 로고도 느낌 있구요. 특히 헤드 밴드 아래 부분에 'sennheiser'와 'momentum'이라고 새겨진 작은 인식표(?)가 금속으로 된 헤드 밴드 연결부와의 부자연스러움을 부드럽게 상쇄시킵니다. 덕분에 고급스러움과 자연스러운 멋을 얻을 수 있는 것 같네요. 2. 그 다음에 음질을 논하자면.... 이건 음.. 정확히 말하면 처음 사고 나서 바로 들으시면 실망할 겁니다. 네... 5만원 이상의 오픈형 이어폰을 사용해보신 분들이라면 100% 실망할 겁니다. 모멘텀은 확실하게 에이징이 필수불가결한 제품입니다. 에이징 음원은 'Bass i love you' 를 추천드리며.. 이어폰과 헤드폰의 에이징은 스피커보다는 빨리 되는 편이기 때문에 볼륨 60%정도에 5시간 정도를 권장드립니다. 3. 에이징이 끝나셨다구요? 들어봅시다, 이제. 클래식! 솔직히 클래식 부분은 놀랐습니다. 굉장히 섬세하고 악기의 질감을 잘 표현해줍니다. 해상력도 좋아서 음 분리도도 뛰어나구요. 더 놀라운 건! 밀폐형인데도 불구하고 웬만한 오픈형에 버금가는 공간감을 보여준다는 거? 스피커 정도는 아니지만, 실로 놀라운 공간감 표현 능력을 갖췄네요. 그 다음은 어쿠스틱! 클래식에서 저렇게 표현을 잘 해주면 어쿠스틱 장르는 말할 것도 없습니다. 그냥 최고네요. 여성 보컬! 여성 보컬은 말들이 많으실 것 같은데. 먼저 모멘텀의 성향을 말씀드리자면 최대한 착색을 억제시킨 음원 그대로의 플랫 성향입니다. 덕분에 좋은 점은 여성 보컬에서 치찰음이 거의 들리지 않고 촉촉한 느낌이라는 것? 단점이라면 나얼이라거나 박정현, 휘트니 휴스턴, 머라이어 캐리 같은 시원한 고음은 크게 기대하기 힘들다는 것. (그래도 평균 이상은 합니다.)  남성 보컬! 남성 보컬은 굉장히 저는 그렇게 크게 감동 받지는 않았습니다. 아무래도 남성 보컬음 중저음인 경우가 많기 때문에 그런데요. 모멘텀 자체가 플랫 성향이기 때문에 저음이 살짝 강조가 되어야 찰지게 들리는 남성 보컬 같은 경우는 그럭저럭 들을만 합니다. 영화! 영화 부분에서는 하, 중, 상으로 표현하면 '상'이라고 표현 할 수 있겠네요. 왜? 저음이 아쉬운 건 사실이지만, 그렇게 후달리는 저음도 아니거니와 자고로 영화란 들려오는 사운드와 보고 있는 장면에 의해서 최대한의 몰입도를 가져와야 하는 것인데, 그런 면에서 모멘텀은 우리가 자칫 놓칠 수도 있는 세세한 소리들과 흔한 할리우드 영화들의 좋은 BGM을 맛깔나게 잘 표현해주면서 몰입도를 최상으로 끌어올려 주기 때문입니다. 밸런스! 밸런스는 위에서 말했다시피 플랫 성향인데다가 젠하이저 측에서 주장하는 왜곡율 0.5%? 맞나? 그렇기 때문에 밸런스는 아주 잘 맞습니다. 착용감! 착용감은 호불호가 갈릴 수도 있는데, 착용감 자체는 좋은데 기본 장착되어 있는 리모트 컨트롤 케이블에 달려있는 금속 재질의 리모트 부분이 은근 무거워서 선이 장착되는 왼쪽 유닛이 상대적으로 무겁게 느껴집니다. 이 부분은 아쉬운 부분이지만, 케이블이 탈착식이라면 거슬리면 다른 걸로 교체하면 되니까요 ㅋ. 아 그리고... 머리가 은근히 잘 안 눌립니다. 제가 좀 머리가 작은 편이기는 한데.. 머리가 큰 사람들이 써도 웬만한 사자 머리 마냥 풍성한 머리가 아닌 이상, 그렇게 크게 눌리거나 그런 일은 없는 것 같습니다. (이 부분은 사용자마다 큰 변수가 존재합니다.) 결론. 보통 모멘텀이랑 모멘텀 온 이어랑 mdr 1r이랑 고민하시는 분들이 있으신데, mdr 1r을 잠시나마 청음 해본 사람으로서 추천을 하면 가격에 비례한 디자인, 소리를 따지자면 모멘텀이 우위인 것 같습니다. 1r의 소리는 뭔가 같은 플랫 성향이기는 한데 조미료가 빠진 허전한 느낌? 그와 반대로 모멘텀은 자극적인 SMG같은 조미료가 아닌 천연 소금을 친 바베큐 같은 느낌?ㅇㅇ. 번외로 말씀드리자면, 모멘텀 온이어는 왜 사는지 이유를 모르겠습니다. 저음이 강조되어서 밸런스도 별로인데다가 착용감도 별로.... 그냥 단지 가격이 1r이랑 비슷하다는 것?",2013-11-14
"헤드폰을 갖고 싶어서 MDR 1R 과 비교하며 고민중이었는데 저렴한 가격에 풀어주셔서 고민이 끝났네요. 감사합니다... -_-;;  매번 눈요기만 했었는데.. 이어폰만 듣다가 구입한 첫 헤드폰인데 잘 샀다는 생각이 무럭무럭 자라는 중입니다 ㅋ 레트로한 디자인, 소리 모두 굉장히 마음에 들고, 동봉된 케이스 또한 고급스러워 보이고 좋네요~! 귀가 약간 큰 편이라, 이어패드가 생각보다 작다는 말이 많아서 불편하지 않을까 걱정도 좀 했는데, 착용감도 우려했던 것과 달리 괜찮아서 다행입니다. 근데 귀 크신분들은 약간 접어 넣거나 그렇지 않으면 귓불이 조금 삐져나온 형태로;; 들으셔야 할 듯 하긴 해요.  날이 상당히 따뜻해졌기 때문에, 더 더워지기전에 줄기차게 들고 돌아다녀야 할 듯 합니다~",2013-05-03
제가 머리 크기가 있어서 좀 크게 해놓음.. ㅋ주문할때 블랙색상이 없어서 어쩌나 했는데 다행이도 친절하신 판매자님과 통화하여 구할 수 있었네요 ㅎ (다음날 입고되어서~) 귀 크기가 큰편은 아니라 오래 착용하고 있어도 큰 무리는 없었네요. 음질은 청음을 잘 못해서 걱정했는데 다행이도 생각한것 이상으로 괜찮은 느낌입니다. 저음성향이 아닐까 걱정했는데 전체적으로 밸런스가 잘 맞고 이전 px200iii에서 느끼던 약간의 답답한 듯한 소리의 막 같은것이 걷혀진듯 깨끗한 음이 나오는데에 상당히 만족스럽네요. 여기에서 더 상위 기종 헤드폰은 과연 어떤소리를 낼까 궁금해질 정도구요 ㅎ 기존의 듣던 노래들도 다시 재밌게 들리고 있습니다. 11번가의 장바구니 할인쿠폰도 저렴하게 구입하는데 상당히 도움이 되었네요. 비싼 제품인 만큼 오랫동안 사용했으면 좋겠습니다~,2013-11-02
배송은 만족합니다 청음을하고 구매하려다 그냥구매를해서 우선 첨들었을땐 엥 뭐지? 라는 생각을했습니다 잘못구매했나싶어서요 공간감은 있지만 뭔가 허전한듯했는데 딱 한시간들으니 생각이바뀌더라구요 명료함 적당한 베이스 무엇보 오래들어도 피곤하지않네요 볼륨확보도 충분해 따로 엠프로 필요없으니 심플함을원하시면 지르세요^^,2013-02-26
해드폰 하나 장만하려고 생각하고 이곳저곳 기웃거리며 정보만 본지 두달여만에 mdr-1rnc와 엠페리어와 모멘텀 사이에서 계속 고민하다가 모멘텀 블랙 보고 바로 삘 꼿혀서 질렀습니다. 일본에서는 30만원이면 산다고 하지만 어떻게 구할 방법이 없었는데 gs shop에서 쿠폰으로 13% 할인받고 신한카드 7% 할인받아서 구매했습니다. 앞으로 애지중지하면서 잘 들어야겠습니다.,2013-02-20
"역시 젠하이져 실망시키지는 않네요.. hd25 와 비슷할 줄 알았더니.. 생긴거와 다르게 깨끗하고 맑은 음색입니다.. 뭐 심심하다는 분들도 계시겠지만, 확실히 hd25와 포지션이 겹치지 않아서 만족스럽네요~ 두루두루 잘 어울리는... 하지만, 락과 메탈은 저음이 넓게 퍼지는 형태라서 마구 달리는 타격감은 느낄 수 없습니다. hd25보다 공간감 스테이징이 넓게 형성되어있네요! 전반적으로 만족스럽습니다.^^",2013-07-19
"배송 받고 청음해보니 저음, 중음, 고음역대의 밸런스가 정말 잘 맞는 해드폰이라고 생각됩니다. 어느 한 음역의 딱 튀어오르는 듯한 느낌이 없으며 밸런스 있게 나온다는 느낌이며, 전체적으로 선명하나 (해상도) 자극적인 맛은 좀 없는것도 같습니다. 그래도 저렴한 가격에 잘 산것 같아 매우 만족합니다.",2013-05-09
에이징은 안할렵니다.. 그냥 듣다보면 자동으로 되는거 아닐까 요전에 야마하꺼 썼는데 부러져서 이걸로 다시구입… 제품 튼튼해 보이는데 헤드폰선이 약하게 생겼음... 헤드폰 선도 비싸던데... 그래도 선만 구입이 가능하다고 해서음질은 좋네요...,2013-11-09
일전에 여기서 브라운 색상 구매했었는데 얼마 안 지나 블랙이 나와서 눈에 자꾸 걸리더군요. 이번에도 좋은 가격이라 거기다가 이어폰까지 줘서 추가 구매했습니다. 소리는 브라운때보다 더 좋은 느낌인데 아마 자기 암시겠죠? 사은품으로 온 이어폰도 소리가 꽤 좋더군요. 저렴한 가격에 구매할 수 있어서 좋았구요. 이제 인도어 /  아웃도어 헤드폰 지름신을 모두 마쳤으니 잘 사용해야겠습니다.,2013-02-22
